Company Name,Domain,Description,Industry,Tech Vertical,Sub-industry,Growth Stage,Founded Date,HQ Location,Operating Status,Total Funding Amount (in USD),Last Funding Amount (in USD),Last Funding Date,Last Funding Type,Post Money Valuation (in USD),Number of Funding Rounds,Investors,Lead Investors,Annual Revenue Estimate (in USD),Founders,Founder Highlights,Number of Founders,Employee Count,Employee Monthly Growth3,Employee Monthly Growth6,Web Visits,Web Visits Monthly Growth3,Web Visits Monthly Growth6,Number of Patents,Awards Count,Highlights,Tagline,stage_score,sector_score,founder_score,momentum_score,total_score,qualification_tier,outreach_action,timing_note,diligence_steps
Reveni,reveni.io,"Reveni is a fintech platform that centralizes global sales, returns, and logistics for ecommerce businesses into a single dashboard, integrating with major ecommerce platforms. It automates returns and exchanges with instant refunds and real-time stock synchronization, enhancing customer loyalty and operational efficiency. The platform enables brands to operate globally with simplified international logistics, reducing manual operations and costs while boosting repurchase rates and average order values. Reveni's solution transforms returns from a challenge into a sales and loyalty opportunity, supporting brands in growing without operational complexity barriers.","Technology, Information and Internet; Internet Marketplace Platforms","FinTech > Risk, Fraud and Decisioning; FinTech > Payment Infrastructure & Orchestration; Commerce & Marketplaces > Commerce Platforms",E-Commerce,Early Stage,2021,"London, England, United Kingdom, Europe",Active,18186744.0,8793827.0,2025-09-30,Series A,0.0,6,"13books Capital, BANCO SANTANDER, BSV Ventures, Big Sur Ventures, Borja Aranguren Herrera, Bynd Venture Capital, Carlos Miragall, Evaristo BabÃ©, Fernando Cabello-Astolfi, Fin Capital, Genially, Hackquarters, Ignacio Moreno Pubul, Inveready, JME Ventures, JosÃ© Barrionuevo, JosÃ© Manuel Entrecanales Domecq, Luis Basagoiti MarquÃ©s, Miguel Fernandez, Rafael Del Valle","Fernando Cabello-Astolfi, JME Ventures, Hackquarters, Inveready, 13books Capital",0.0,"[{""specter_person_id"":""per_0517f0bea812f315a192bb42"",""full_name"":""Pablo Molinero"",""departments"":[""Senior Leadership"",""Operations""],""title"":""Co-Founder & COO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_225baa62794db695bb3090ca"",""full_name"":""Fernando Pedraz"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4aa7b3c98b9dd0bc7802006a"",""full_name"":""Gonzalo MartÃ­n"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, VC-Backed Founder",3,53,8.16,35.9,544682.0,0.57,380.94,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Momentum, Web Traffic Scale-up, Social Followers Scale-up, Recent Funding",Reveni is a platform that automates ecommerce returns and exchanges with instant refunds.,100,60,77,100,85,Tier 1,Reach out now (Tier 1),"Raised ~8mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Waylens Inc.,waylens.com,"Waylens provides an AI video platform that helps fleet operators detect incidents, reduce risk, and manage driver safety. The company combines on-vehicle smart cameras and hardware with onboard AI models, data workflows, and developer kits to automatically capture, analyze, and tag driving events. Its offering is delivered as a cloud-native video telematics platform (AI Video Platform as a Service) that integrates with fleet management and insurance workflows. Waylens serves fleets, insurers, and logistics providers with scalable, customizable solutions for video-based risk management. The product targets the video telematics market and supports fleet safety, incident review, and operational analytics at scale.","Technology, Information and Internet; Software Development","Mobility, Transport & Logistics > Fleet Management, Telematics and Safety; AI & Machine Learning > Multimodal Perception and Sensor Fusion; Data & Analytics > Streaming and Real-time Data; Robotics & Industrial Tech > Computer Vision and Quality Inspection",Automotive; Computer Vision; Electronics; Software,Early Stage,2014,"Boston, Massachusetts, United States, North America",Active,6800000.0,0.0,2017-06-01,Series A,0.0,3,"E14 Fund, Foothill Ventures, IDG Capital",,0.0,"[{""specter_person_id"":""per_0c279e6373d9453bca0c9b82"",""full_name"":""Michael Schmidt"",""departments"":[""Senior Leadership"",""BD & Marketing""],""title"":""Co-Founder & CMO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_cdeabe5169b5f2d2d6ad46bf"",""full_name"":""Phil Salesses"",""departments"":[""Senior Leadership""],""title"":""Co-founder and CPO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_fccc6f1c80008ee6330ca3f7"",""full_name"":""Dawei Shen"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Top University, VC-Backed Experience, VC-Backed Founder",3,23,27.78,27.78,1267.0,2084.48,-29.14,19.0,2.0,"Headcount Surge, Top Tier Investors, No Recent Funding",Waylens provides an AI video platform for fleet risk management and road safety.,100,100,100,46,84,Tier 1,Schedule partner review (Tier 2),~110mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Investigate soft growth signals (headcount / web traffic). | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
Filics,filics.eu,"Filics provides an innovative automated double runner system, the Filics Unit, for efficient pallet transportation in intralogistics, addressing labor shortages and increasing productivity. This compact, autonomously guided vehicle offers omnidirectional movement and fits seamlessly under various load carriers without the need for maneuvering. It utilizes laser navigation and is controlled by a web-based, customizable software platform for intuitive operation and performance analysis. The system is designed for collaborative operation with employees, automating tasks like loading, unloading, and production line transport. Filics targets logistics and manufacturing companies, supporting loads up to 800 kg, and has demonstrated significant efficiency gains with clients like DHL Supply Chain.",Manufacturing; Machinery Manufacturing; Automation Machinery Manufacturing,"Mobility, Transport & Logistics > Warehouse and Logistics Automation; Robotics & Industrial Tech > Ground Mobility: AMRs and AGVs; Supply Chain & ManufacturingTech > Industrial IoT, Edge and Asset Performance; AI & Machine Learning > Multimodal Perception and Sensor Fusion; Robotics & Industrial Tech > Collaborative and Industrial Robotics",Logistics; Supply Chain Management; Transportation,Early Stage,2019,"Munich, Bavaria, Germany, Europe",Active,15882446.0,15882446.0,2025-07-07,Series A,0.0,5,"10x Founders, Alven, Amazon Industrial Innovation Fund, Andrei Danescu, Bayern Kapital, Capnamic, DnA Ventures, Elokon Ventures, F-LOG Ventures, Helmut Schmid, Initiative for Industrial Innovators, Intel Ignite, Sandwater","10x Founders, Intel Ignite, Capnamic",0.0,"[{""specter_person_id"":""per_0142a89399ab93b1e7d36616"",""full_name"":""Gregor Kolls"",""departments"":[""Senior Leadership""],""title"":""Co-Founder, CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_17668f1013c9c5825c889c20"",""full_name"":""Tim Pronten"",""departments"":[""Senior Leadership""],""title"":""Shareholder and co-founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_25491ce7c0155ce3f6ca295e"",""full_name"":""Robin Konrad"",""departments"":[""Senior Leadership"",""Operations""],""title"":""COO | Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4a11dd29808cc9bbdff3380e"",""full_name"":""Markus Weber"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",4,52,23.81,100.0,8664.0,-0.29,457.17,4.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, No Recent Funding",Filics automates intralogistics pallet transportation with a double runner system.,100,100,57,100,83,Tier 1,Schedule partner review (Tier 2),~11mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Swarm Aero,swarmaero.com,"Swarm Aero enables small teams to deploy and coordinate thousands of uncrewed vehicles in communications-limited, contested environments. It does this with a Universal Swarm Node that provides a sensor mesh, edge computing, and collaborative autonomy to allow large-scale UAV, sea, and ground asset coordination. The company develops mission-level autonomy and scalable hardware through advanced manufacturing and materials to achieve high production rates. Its product set is positioned for military and defense use where robust, distributed autonomy and rapid deployment matter.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; Defence & Security > Autonomous and Uncrewed Systems; Robotics & Industrial Tech > Edge Computing and AI for Robotics; AI & Machine Learning > Agentic Frameworks and Orchestration; AI & Machine Learning > Multimodal Perception and Sensor Fusion,Aerospace;  Artificial Intelligence (AI);  Drones;  Hardware;  Military;  National Security,Early Stage,2022,"New York City, New York, United States, North America",Active,35000000.0,35000000.0,2026-03-11,Series A,0.0,4,"Alumni Ventures, Coatue, Construct Capital, Countdown Capital, Founders Fund, Friends & Family Capital, Jackson Moses, Josh Manchester, Khosla Ventures, MaC Venture Capital, Quiet Capital, Scribble Ventures, Silent Ventures, Susa Ventures, Two Sigma Ventures","Countdown Capital, Jackson Moses, Construct Capital, Two Sigma Ventures, Silent Ventures",0.0,"[{""specter_person_id"":""per_978160183b4f5799141f1d0b"",""full_name"":""Danny Goodman"",""departments"":[""Senior Leadership""],""title"":""Founder & Executive Chairman"",""seniority"":""Executive Level""},{""specter_person_id"":""per_bf44220b6fff7c418d14616d"",""full_name"":""Oliver Palmer"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CRO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_cd38a03526d081b156105eec"",""full_name"":""Peter Kalogiannis"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & Chief Engineer"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Founder",3,68,47.83,51.11,,,,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding",Swarm Aero empowers teams to mobilize thousands of uncrewed vehicles in contested environments.,100,100,80,70,83,Tier 1,Schedule partner review (Tier 2),"Raised ~3mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Pull fresh traction data — web/product usage is sparse in this export. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Reflex Aerospace,reflexaerospace.com,"Reflex Aerospace specializes in designing and building custom satellite platforms at scale, quickly. Leveraging advanced manufacturing and design processes, they significantly reduce lead times, delivering high-performance satellite solutions within months. Their ""NextSpaceÂ®"" advantage combines customizability with NewSpace speed. Reflex offers mass customization through thoughtful design and manufacturing, including ITAR-free components and purposeful verticalization. Their high-performance platforms utilize cutting-edge techniques like generative design and additive manufacturing. Reflex has a team of over 70 members with expertise in more than 45 missions. They have dual locations in Berlin (design) and Munich (manufacturing).",Manufacturing; Defense and Space Manufacturing,Space & Frontier > Spacecraft Platforms and Constellations; Defence & Security > Space and Aerospace Defence; Defence & Security > Defence Manufacturing and Materials,Aerospace; Satellite Communication; Space Travel,Growth Stage,2021,"Berlin, Berlin, Germany, Europe",Active,68688828.0,57635426.0,2025-11-04,Series A,0.0,4,"Alpine Space Ventures, Bayern Kapital, HTGF (High-Tech Gruenderfonds), Human Element VC, Renovatio Financial Investments, Starburst Accelerator",Human Element VC,0.0,"[{""specter_person_id"":""per_3472294b4086fdfa134c50df"",""full_name"":""Christian Lindener"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4b09c7bf7dbf2d5fb14062ad"",""full_name"":""Alexander Genzel"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and Chief Operating Officer"",""seniority"":""Executive Level""}]","Hyper Connector, Influencer, Polyglot, Prior Exit, Prior IPO, Prior VC-Backed Founder, Serial Founder, Strong Technical Background",2,106,9.28,51.43,7834.0,-54.85,-12.13,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Dip, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Recent Funding","Reflex Aerospace designs and builds custom, high-performance satellite platforms quickly and at scale.",100,100,80,70,83,Tier 1,Schedule partner review (Tier 2),"Raised ~7mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
"Gallatin AI, Inc.",gallatin.ai,"Gallatin provides defense organizations with AI-driven logistics decision support to improve planning and execution across tactical, operational, and strategic levels. The company offers a logistics platform that synthesizes data to create actionable insights for first-, middle-, and last-mile operations and supports mission planning and resource allocation. Its solution is delivered as a B2B SaaS platform using AI and analytics to produce decision recommendations and situational awareness for military and defense logistics teams. Gallatin addresses defense and government logistics needs at scale across operational environments.","Technology, Information and Internet; Information Services; Internet Publishing","AI & Machine Learning > Agentic Frameworks and Orchestration; Data & Analytics > Streaming and Real-time Data; Robotics & Industrial Tech > Edge Computing and AI for Robotics; Supply Chain & ManufacturingTech > Planning, Forecasting and Inventory Optimization; Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones",Logistics; Military; National Security; Predictive Analytics; Software; Supply Chain Management,Pre-Seed,2024,"El Segundo, California, United States, North America",Active,15000000.0,15000000.0,2025-04-08,Seed,0.0,2,"8VC, Banter Capital, Moonshots Capital, Silent Ventures",8VC,0.0,"[{""specter_person_id"":""per_46002bdee976c3e21ee60b73"",""full_name"":""Daniel Buchmueller"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_60058346a69454f67685dc37"",""full_name"":""Woody Glier"",""departments"":[""Senior Leadership""],""title"":""Co-Founder + CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_905d0f203eeebb2dd78142f9"",""full_name"":""Jake Medwell"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and Board Member"",""seniority"":""Executive Level""},{""specter_person_id"":""per_e258b650b969c27533c19186"",""full_name"":""Brian Ballard"",""departments"":[""Senior Leadership"",""Product & Research""],""title"":""Co-Founder & Chief Product Officer"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",4,47,9.3,51.61,7190.0,0.06,20.31,,,"Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Gallatin is a logistics platform that provides AI-powered decision support for the defense industry.,30,100,100,78,83,Tier 1,Schedule partner review (Tier 2),~14mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
SuperCircle,supercircle.world,"SuperCircle helps retail brands reduce post-consumer textile waste by operating trade-in programs and managing excess inventory for reuse or recycling. It combines a B2B SaaS platform with physical reverse logistics, processing networks, and retail integrations to collect, sort, route, and monetize returned or end-of-life apparel. The company provides turnkey program operations and data reporting tools that track performance and environmental impact. SuperCircle targets fashion and retail brands seeking scalable circularity solutions in the apparel waste market.","Technology, Information and Internet; Internet Marketplace Platforms","Supply Chain & ManufacturingTech > Traceability, Circularity and Sustainability; Commerce & Marketplaces > Circular and Recommerce Platforms; ClimateTech > Circular Models and Product Life-Extension; Consumer Brands, Fashion & Retail > Sustainable Supply Chain & Circularity",CleanTech; Retail Technology; Waste Management,Early Stage,2021,"New York City, New York, United States, North America",Active,31000000.0,24000000.0,2025-12-10,Series A,0.0,3,"BBG Ventures, Blueprint Ventures, Earthshot Ventures, Elemental Impact, Foundry Group, Lyra Ventures, Montage Ventures, Radicle Impact, Renewal Funds, Ulu Ventures","Radicle Impact, Ulu Ventures, Elemental Impact, Foundry Group",0.0,"[{""specter_person_id"":""per_190bef8b27b041e330fb5882"",""full_name"":""Phong Nguyen"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder / CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_4b3243a1ba0cf46cb77cb714"",""full_name"":""Stuart Ahlum"",""departments"":[""Senior Leadership"",""Operations""],""title"":""Co-Founder & COO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_7c73452109d40313d0f98f60"",""full_name"":""Chloe Marie Songer"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CEO"",""seniority"":""Executive Level""}]","Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Founder",3,32,14.29,23.08,139839.0,-3.29,79.69,,,"Headcount Surge, Headcount Scale-up, Web Traffic Momentum, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding",SuperCircle powers circularity for retail brands via trade-in programs and reverse logistics.,100,60,67,100,81,Tier 1,Schedule partner review (Tier 2),"Raised ~6mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
GoodShip,goodship.io,"GoodShip helps shippers reduce freight costs and improve service by centralizing procurement, carrier management, and transportation analytics in one platform. It does this by ingesting data from TMS and ERP systems and integrating market-rate feeds such as DAT, TruckStop, and FreightWaves SONAR, while applying AI for bid recommendations, scenario modeling, and carrier scorecards. The product is offered as a B2B SaaS freight orchestration and procurement solution with built-in procurement tools, a carrier self-service portal, and integrations with partners like Princeton TMX. Implementation claims include rapid time-to-value with procurement and service recommendations available within weeks. GoodShip targets shippers and transportation teams seeking to optimize spend, compliance, and on-time delivery across complex carrier networks.","Technology, Information and Internet; Software Development","Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Commerce & Marketplaces > B2B Marketplaces & Procurement Networks; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Enterprise Automation > Procurement and Vendor Management Automation",Freight Service; Logistics; Transportation,Early Stage,2022,"Bellevue, Washington, United States, North America",Active,40400000.0,25000000.0,2025-08-12,Series B,0.0,4,"53 Stations, Andrew Silver, Bessemer Venture Partners, Cercano Management, Chicago Ventures, Dan Lewis, FUSE, Flexport, Greenfield Partners, Innovation Endeavors, Ironspring Ventures, Jett McCandless, Kindergarten Ventures, McVestCo, Nichole Wischoff, Sean Henry, Sope Creek Capital","FUSE, Ironspring Ventures, Chicago Ventures, Bessemer Venture Partners, Greenfield Partners",0.0,"[{""specter_person_id"":""per_0337d5464f04a84a60cc3088"",""full_name"":""David Tsai"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_c7b5eb4a30762f6854cde2ca"",""full_name"":""Ryan Soskin"",""departments"":[""Senior Leadership""],""title"":""Co-Founder, CEO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",2,64,0.0,18.52,9029.0,116.57,46.65,,,"Headcount Momentum, Headcount Scale-up, Top Tier Investors, No Recent Funding",GoodShip is an all-in-one freight orchestration and procurement platform for shippers.,100,100,53,100,81,Tier 1,Schedule partner review (Tier 2),~10mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Parallel,moveparallel.com,"Parallel Systems is a company focused on transforming freight transportation by converting freight from trucking to rail. They are developing automated, battery-electric, freight rail vehicles and the tools to integrate this service into railroad operations. Their technology aims to enable railroads to serve new markets on corridors less than 1,000 miles, offering a more flexible, zero-emissions option. The company's business model involves providing railroads with the tools to shift freight from the trucking industry to rail, with their competitive edge being their autonomous battery-electric rail vehicles designed for cleaner, faster, safer, and more cost-effective freight movement. They are backed by venture capital and are working with major railroad companies.",Manufacturing; Transportation Equipment Manufacturing; Railroad Equipment Manufacturing,"Mobility, Transport & Logistics > EV, Charging and Energy Management; ClimateTech > Low-Carbon Mobility and Transport; Robotics & Industrial Tech > Ground Mobility: AMRs and AGVs",Autonomous Vehicles; Freight Service; GreenTech; Transportation,Early Stage,2020,"Los Angeles, California, United States, North America",Active,91349995.0,38000000.0,2025-04-14,Series B,0.0,3,"Anthos Capital, Collaborative Fund, Congruent Ventures, Embark Ventures, Riot Ventures","Congruent Ventures, Anthos Capital",0.0,"[{""specter_person_id"":""per_53ce0777b00aa8a68211beaa"",""full_name"":""Brian Ignaut"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_aec5557ff94636c4589d3ca1"",""full_name"":""John Howard"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder, Board Member, VP Engineering & Operations"",""seniority"":""Executive Level""},{""specter_person_id"":""per_c2e6deba83c9f1c0643f8842"",""full_name"":""Benjamin Stabler"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder, VP of Engineering"",""seniority"":""Executive Level""},{""specter_person_id"":""per_ed59b55b8787d080c362214d"",""full_name"":""Matt Soule"",""departments"":[""Senior Leadership""],""title"":""Founder and CEO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",4,55,0.0,12.24,5437.0,-10.85,-11.45,,,"Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding","Parallel Systems is developing autonomous, battery-electric rail vehicles to modernize freight transportation.",100,100,87,51,80,Tier 1,Schedule partner review (Tier 2),~14mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Investigate soft growth signals (headcount / web traffic). | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Lumotive,lumotive.com,"Lumotive provides programmable optical semiconductor chips that replace bulky mechanical optics with digitally reconfigurable beamforming functions to enable compact, high-performance sensing and communication systems. Its Light Control Metasurface (LCMâ„¢) family uses CMOS-compatible metasurface beamforming technology to perform software-defined beam steering, lensing, and beam splitting for solid-state LiDAR, 3D sensing, and free-space optical links. The company delivers silicon beamforming chips and development tools that integrate with customer modules and platforms, and its technology is deployed through module makers and solution integrators. Lumotive operates as a B2B semiconductor supplier targeting autonomy, robotics, smart infrastructure, and optical communications markets.",Manufacturing; Computers and Electronics Manufacturing; Semiconductor Manufacturing,"Semiconductors & Computing Hardware > Photonics, Interconnect and Optical Computing; Quantum & Frontier Materials > Semiconductor, Photonic and Quantum Materials; Space & Frontier > Communications, Navigation and Timing",Autonomous Vehicles; Drones; Electronics; Robotics; Semiconductor; Sensor,Early Stage,2017,"Redmond, Washington, United States, North America",Active,72000000.0,59000000.0,2025-02-19,Series B,0.0,6,"Amazon Industrial Innovation Fund, BIRD Foundation, Bill Gates, EDOM Technology, Eastbridge Group, Gates Frontier Fund, Gates Ventures, Grazia Equity, Himax Technologies, Hokuyo Capital, ITHCA group, MetaVC Partners, Quan Funds, Quan Technology Fund, Samsung Ventures, Stifel Bank, Swisscom Ventures, TSVC, USAA, UniQuest","Samsung Ventures, BIRD Foundation, Gates Frontier Fund, MetaVC Partners",0.0,"[{""specter_person_id"":""per_7de41e9a0d637b5e2acae426"",""full_name"":""Bill Colleran"",""departments"":[""Senior Leadership""],""title"":""Founder and CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_bded7985f47a83c864127a83"",""full_name"":""Gleb Akselrod"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO and Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Top University, VC-Backed Founder",2,80,2.56,8.11,6690.0,-22.66,0.34,23.0,,"Top Tier Investors, No Recent Funding",Lumotive makes programmable Light Control Metasurface chips for solid-state LiDAR.,100,100,93,40,79,Tier 2,Monitor (Tier 3),~16mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Investigate soft growth signals (headcount / web traffic). | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Easyship,easyship.com,"Easyship simplifies cross-border and domestic shipping for eCommerce merchants by centralizing rate comparison, label purchase, and fulfillment management. The platform aggregates 500+ courier services, provides real-time tax and duty calculations, and offers discounted rates while exposing features through a no-code app and an enterprise-grade API. As a cloud-based B2B SaaS shipping platform, Easyship integrates with major e-commerce platforms and marketplaces to display calculated rates at checkout and automate fulfillment workflows. The company also operates a global fulfillment network for storage, packing, and shipping and supports branded tracking and post-purchase communications to reduce support inquiries.","Technology, Information and Internet; Software Development","Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Commerce & Marketplaces > Commerce Platforms; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization",Courier Service; E-Commerce; Internet; Logistics; Marketplace; Shipping,Growth Stage,2015,"New York City, New York, United States, North America",Active,4000000.0,4000000.0,2018-11-29,Series A,0.0,3,"500 Global, 500 Southeast Asia, Cyberport Hong Kong, Kima Ventures, Lamivoie, Maximilian Bittner, Nullabor, One Way Ventures, Picus Capital, Richard Lepeu, Rubicon Venture Capital, Spiral Ventures","500 Southeast Asia, Richard Lepeu, Maximilian Bittner",0.0,"[{""specter_person_id"":""per_4ca36e93899fee6ffa175b81"",""full_name"":""Paul Lugagne-Delpon"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_80cb5ebad195e325d95a613c"",""full_name"":""Reuben Philip Abraham"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_903890938cae011fe5615a3b"",""full_name"":""Tommaso Tamburnotti"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_d8925e07119ab633aa07a32f"",""full_name"":""Augustin Ceyrac"",""departments"":[""Senior Leadership""],""title"":""Co Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Hyper Connector, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, VC-Backed Founder",4,195,3.17,10.8,565965.0,-18.14,-13.19,,,"Web Traffic Dip, App Downloads Dip, App Downloads Decline, Top Tier Investors, No Recent Funding",Easyship provides eCommerce sellers a cloud shipping platform to compare carriers and buy labels.,100,100,97,35,79,Tier 2,Monitor (Tier 3),~92mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Investigate soft growth signals (headcount / web traffic). | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
