Company Name,Domain,Description,Industry,Tech Vertical,Sub-industry,Growth Stage,Founded Date,HQ Location,Operating Status,Total Funding Amount (in USD),Last Funding Amount (in USD),Last Funding Date,Last Funding Type,Post Money Valuation (in USD),Number of Funding Rounds,Investors,Lead Investors,Annual Revenue Estimate (in USD),Founders,Founder Highlights,Number of Founders,Employee Count,Employee Monthly Growth3,Employee Monthly Growth6,Web Visits,Web Visits Monthly Growth3,Web Visits Monthly Growth6,Number of Patents,Awards Count,Highlights,Tagline,stage_score,sector_score,founder_score,momentum_score,total_score,qualification_tier,outreach_action,timing_note,diligence_steps
BackOps AI,backops.ai,"BackOps AI provides an AI-powered assistant for logistics and supply chain teams to automate routine operations. The platform connects to over 100 WMS platforms and various channels to ingest data and follows customer SOPs. It automates tasks such as order entry, claims handling, status inquiries, and invoice requests, with escalation to humans when needed. Built as a SaaS solution, it integrates with existing tech stacks and supports human-in-the-loop approvals. The product targets logistics and supply chain companies seeking scalable operational automation.",Professional Services; IT Services and IT Consulting; IT System Custom Software Development,"Enterprise Automation > AI Agents and Process Copilots; Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; AI & Machine Learning > Agentic Frameworks and Orchestration",Artificial Intelligence (AI);  Software;  Supply Chain Management,Early Stage,2024,"San Francisco, California, United States, North America",Active,37499981.0,27499981.0,2026-03-12,Series A,0.0,3,"10vc, Construct Capital, Gradient, Theory Ventures","Gradient, Construct Capital, Theory Ventures",0.0,"[{""specter_person_id"":""per_9c2164c3e2f51f631cb83b30"",""full_name"":""Sean McCarthy"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_fc74fcda2033b810d7353b70"",""full_name"":""Henry Ou"",""departments"":[],""title"":""Co-Founder & CTO"",""seniority"":null}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",2,33,83.33,120.0,12476.0,169.98,84.97,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Web Traffic Scale-up, Social Followers Momentum, Social Followers Scale-up, Recent Funding",BackOps AI automates logistics operations with AI-driven workflows.,100,60,53,100,96,Tier 1,Reach out now (Tier 1),"Raised ~3mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Mia Labs,mia.inc,"Mia Labs provides automotive dealerships with an AI employee that answers calls and texts, schedules appointments, and manages inbound and outbound customer conversations 24/7. The company offers a B2B SaaS conversational platform that uses conversational AI and generative AI models to handle calls, check inventory, update CRMs, and notify staff across sales, service, reception, and parts. Mia integrates with existing dealership systems and CRMs, supports multilingual detection, and leverages Microsoft Defender for Cloud for security. Typical customers are franchise and independent dealerships seeking to reduce missed calls and recover lost revenue across the automotive retail market.","Technology, Information and Internet; Software Development","SalesTech > AI Sales Copilots, Conversation Intelligence, and Assistants; Commerce & Marketplaces > Retail and Point of Sale; SalesTech > Sales Engagement and Outreach; SalesTech > Customer Support & Experience",Artificial Intelligence (AI); Information Technology,Early Stage,2023,"Austin, Texas, United States, North America",Active,28999994.0,20000000.0,2026-01-22,Series A,0.0,2,"Analog Capital, Analog Ventures, Eniac Ventures, Logos Fund, Norwest, Permanent Capital Ventures, Vine Ventures, Yossi Joe Levi, Yossi Levi",Permanent Capital Ventures,0.0,"[{""specter_person_id"":""per_81205d37ea16313440983e75"",""full_name"":""Brian Hoang"",""departments"":[""Senior Leadership""],""title"":""CEO & Co-founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_938da9eeaa7c2f25602989ad"",""full_name"":""Kelvin Pho"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_97521b7ffd61544bb004e2a2"",""full_name"":""Marwan Kodeih"",""departments"":[""Senior Leadership""],""title"":""CPO & Co-Founder"",""seniority"":""Executive Level""}]","Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, VC-Backed Founder",3,74,72.09,124.24,9164.0,-47.83,44.22,1.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Dip, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding",Mia Labs provides an AI employee answering calls and scheduling appointments for dealerships.,100,60,37,100,95,Tier 1,Reach out now (Tier 1),"Raised ~4mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Starfish Space,starfishspace.com,"Starfish Space provides on-demand satellite servicing to extend, relocate, inspect, and dispose of spacecraft in orbit. It does this with Otter, an autonomous, electric-propulsion space tug that is designed to be roughly 10x smaller and lower-cost than traditional servicing vehicles. The company develops and manufactures the Otter vehicle and mission systems to perform life-extension, relocation, end-of-life disposal, and inspection services for satellite operators. Starfish Space is a B2B hardware and services provider working with commercial and government satellite operators to increase orbital sustainability. Founded and launched in 2023, the company targets the growing satellite market by offering more affordable, available in-orbit servicing capabilities.",Government Administration; Space Research and Technology,"Space & Frontier > Space Operations, Services and Logistics; Space & Frontier > Spacecraft Platforms and Constellations; Space & Frontier > On-Orbit Services and Infrastructure; Defence & Security > Autonomous and Uncrewed Systems",Aerospace; Manufacturing; Space Travel; Transportation,Early Stage,2019,"Seattle, Washington, United States, North America",Active,174640329.0,111690329.0,2026-04-07,Series B,0.0,12,"AFWERX, Activate Capital Partners, Aero X Ventures, Alumni Ventures, Boost VC, Booz Allen Ventures, Creative Destruction Lab (CDL), Duro Ventures, Gaingels, Hypothesis, Industrious Ventures, Jackson Moses, Liquid 2 Ventures, MaC Venture Capital, Munich Re Ventures, NASA, NFX, National Security Innovation Capital, NightDragon, Nomi Capital, Overlap Holdings, PSL Ventures, Point72 Ventures, Rob Meyerson, Seraphim Space, Shield Capital, Spacecadet Ventures, Starburst Accelerator, TRAC, Toyota Ventures, Trousdale Ventures, Ø§Ù„ÙŠØ§Ø³ Ø§Ù„Ø¬Ø¨Ù„","Creative Destruction Lab (CDL), MaC Venture Capital, NFX, Spacecadet Ventures, Munich Re Ventures, Toyota Ventures, NASA, AFWERX, Alumni Ventures, Shield Capital, Point72 Ventures, Activate Capital Partners",0.0,"[{""specter_person_id"":""per_2d8bf63e6fef63a06babb247"",""full_name"":""Trevor Bennett"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_5f11f45afc4761bdc2aeabc3"",""full_name"":""Austin Link"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior VC-Backed Experience, Strong Academic Background, Top University, VC-Backed Founder",2,94,8.05,13.25,9511.0,57.0,66.28,,,"Headcount Surge, Top Tier Investors, Recent Funding, Recent News",Starfish Space provides affordable satellite servicing with its autonomous vehicle Otter.,100,100,20,95,92,Tier 1,Schedule partner review (Tier 2),"Raised ~2mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Catena Clearing,catenaclearing.io,"Catena provides a single API platform that unifies fragmented logistics and telematics data so supply chain teams get real-time visibility and build applications faster. It accomplishes this with a unified data integration platform and modular products â€” Catena Telematics for visibility, Catena Connect for integrating ELDs and telematics providers, and Catena Gateway for AI-powered data normalization â€” all exposed via developer-friendly APIs. The platform integrates with telematics/ELD vendors and enterprise systems such as TMS, ERP, and BI tools to serve supply chain developers, carriers, and shippers. Catena is a B2B SaaS infrastructure provider addressing data fragmentation across freight, fleet operations, and digital logistics platforms.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Enterprise Automation > API Integration & Connectivity Layers; Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns",Software; Supply Chain Management,Pre-Seed,2023,"New York City, New York, United States, North America",Active,7000000.0,5000000.0,2025-09-19,Seed,0.0,2,"Blue Impact, Blue Moon, Floating Point, Liquid 2 Ventures, Plug and Play, Shaper Capital, SpringTime Ventures, Teamworthy Ventures",Floating Point,0.0,"[{""specter_person_id"":""per_811754518d2a60e9e63d407a"",""full_name"":""Jeremy Baksht"",""departments"":[""Senior Leadership""],""title"":""Founder & CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_f931f0deeb0257cde12a95d2"",""full_name"":""Mike Goynes"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Hyper Connector, Influencer, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, VC-Backed Founder",2,30,30.43,57.89,2869.0,-11.15,41.54,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Catena provides APIs and infrastructure for supply chain developers.,30,100,67,100,91,Tier 2,Schedule partner review (Tier 2),"Raised ~9mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Tread,tread.io,"Tread is an industry-leading transportation management system designed to digitize the logistics of construction materials. It offers key products such as Dispatch, Tracking, and Ticketing & Timesheets, which help streamline the buying, moving, and selling processes for material producers, civil contractors, asphalt millers, pavers, and haulers. Tread differentiates itself with best-in-class customer support, real-time tracking capabilities, and a focus on eliminating disputes through digital ticketing. The platform has demonstrated significant traction, saving users hours per day and improving order accuracy, positioning Tread as a valuable asset in the construction logistics market.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Fleet Management, Telematics and Safety; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Enterprise Automation > Procurement and Vendor Management Automation; Future of Work > Project and Work Management",Civil Engineering; Construction; SaaS,Early Stage,2016,"San Francisco, California, United States, North America",Active,120000.0,0.0,2025-08-22,Series A,0.0,8,"Creative Destruction Lab (CDL), Dennis Bennie, Earthshot Ventures, FJ Labs, FundersClub, Globalive, Pool Global Partners, Radical Ventures, Real Ventures, Ripple Ventures, Techstars","Techstars, Real Ventures",0.0,"[{""specter_person_id"":""per_8cb186ad9673e65b7cef9f5f"",""full_name"":""Noah Dolgoy"",""departments"":[""Senior Leadership""],""title"":""CEO & Founder"",""seniority"":""Executive Level""}]","Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Top University, VC-Backed Experience",1,49,13.95,19.51,1134.0,26.28,23.13,1.0,,"Headcount Surge, App Downloads Surge, Top Tier Investors, No Recent Funding",Tread is a transportation management system for construction materials logistics.,100,100,37,93,91,Tier 2,Schedule partner review (Tier 2),~10mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Arvist,arvist.ai,"Arvist automates warehouse quality control, safety, and compliance using computer vision to reduce damage and inspection time. The company delivers a cameraâ€‘agnostic Vision AI platform that integrates with existing security cameras, sensors and WMS/ERP data and is offered as a SaaS solution. Its models detect realâ€‘time damage, verify shipment accuracy, monitor worker safety and surface compliance issues, enabling faster claims handling and fewer OS&D incidents. Arvist targets 3PLs, warehouses and distribution centers and is designed to scale across multiple sites without new hardware.","Transportation, Logistics, Supply Chain and Storage; Warehousing and Storage","Robotics & Industrial Tech > Computer Vision and Quality Inspection; AI & Machine Learning > Multimodal Perception and Sensor Fusion; Supply Chain & ManufacturingTech > Quality, Inspection and Compliance; Mobility, Transport & Logistics > Warehouse and Logistics Automation; Enterprise Automation > RPA and Task Automation",Artificial Intelligence (AI); Computer Vision; Logistics; Machine Learning; Supply Chain Management; Warehousing,Pre-Seed,2021,"Chicago, Illinois, United States, North America",Active,5120000.0,4000000.0,2025-09-16,Seed,0.0,5,"Chisos Capital, Daren Cotter, Foster Ventures, Geek Ventures, Iron Prairie Ventures, KOMPAS VC, Lofty Ventures, Mana Ventures, Michael Shor, New Leaf Venture Partners, Plug and Play, REFASHIOND Ventures, Rackhouse Venture Capital, Supply Chain Ventures, Team Ignite Ventures, Techstars, Veddis, proChain Ventures","Techstars, REFASHIOND Ventures, Plug and Play, Iron Prairie Ventures, Rackhouse Venture Capital",0.0,"[{""specter_person_id"":""per_027a389e5a48be44b9e6d8cf"",""full_name"":""Werner Stapela"",""departments"":[""Senior Leadership""],""title"":""Co-founder & senior advisor"",""seniority"":""Executive Level""},{""specter_person_id"":""per_22d05bbcb4bea9a85ba009ed"",""full_name"":""Nilay Parikh"",""departments"":[""Senior Leadership""],""title"":""Founder and CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_5d25e9f5ee07ddb93f2b0837"",""full_name"":""Bazyl Horsey"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO/Co-founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Founder",3,21,0.0,16.67,4228.0,56.01,133.85,,,"Social Followers Scale-up, Top Tier Investors, No Recent Funding","Arvist automates warehouse quality control, safety, and compliance using computer vision and AI.",30,100,43,100,90,Tier 2,Schedule partner review (Tier 2),"Raised ~9mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Twin,twin.so,"Twin offers AI agents that automate complex, cross-application tasks. Agents operate across any web app by directly controlling the browser, without needing custom APIs or RPA scripts. The platform supports building, testing, and deploying these agents, with security and scalability features such as secure authentication. They are powered by frontier AI models optimized for speed, cost, and accuracy. They target industries like fintech, e-commerce, and healthcare.","Technology, Information and Internet; Software Development",AI & Machine Learning > Agentic Frameworks and Orchestration; Enterprise Automation > Low-Code/No-Code Business Automation; Enterprise Automation > RPA and Task Automation; Developer Tools > Low-code and No-code Development Platforms; Enterprise Automation > AI Agents and Process Copilots,Automotive; Information Technology; Internet,Pre-Seed,2023,"Paris, ÃŽle-de-France, France, Europe",Active,13000000.0,10000000.0,2026-01-27,Seed,0.0,2,"Andrena Ventures, Betaworks, Charles Gorintin, Clem Delangue, Drysdale Ventures, Factorial Capital, Florian Douetteau, Fresh Ventures, Irregular Expressions, Irwan Bello, Kima Ventures, LocalGlobe, Mehdi Ghissassi, Motier Ventures, Olivier Pomel, Pareto Holdings, Philippe Corrot, Quentin Nickmans, Rand Hindi, Rodolphe SaadÃ©, Romain Huet, Romuald Elie, Thibaud Elziere, Thomas Wolf, Yan-David Erlich",LocalGlobe,0.0,"[{""specter_person_id"":""per_3679918ea32a040af3a65d3e"",""full_name"":""Joao Justi"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Founder, CTO & infra guy"",""seniority"":""Executive Level""},{""specter_person_id"":""per_e7a3fafa3b6a9cf9940b1fa2"",""full_name"":""Hugo Mercier"",""departments"":[],""title"":""Founder & CEO"",""seniority"":null}]","Hyper Connector, Influencer, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",2,24,9.09,41.18,268902.0,25.71,1619.32,,,"Headcount Momentum, Web Traffic Surge, Web Traffic Momentum, Web Traffic Scale-up, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding",Twin builds AI agents that automate tasks across any web application without custom APIs or RPA.,30,60,60,100,89,Tier 2,Schedule partner review (Tier 2),"Raised ~4mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
ex9,ex9.tech,"ex9 provides autonomous yard operations as a service that moves trailers, containers, pallets and other heavy loads inside closed logistics and industrial compounds to reduce costs, incidents, and emissions. The company deploys fleets of zero-emission autonomous yard tractors combined with autopilot software, perception, localization, dynamic control, path-routing and off-the-shelf hardware to automate dock parking and shunting tasks. It operates as a full-service provider that installs, operates, and manages fleets on customer sites rather than selling standalone hardware. ex9 targets logistics hubs, distribution centers, and manufacturing yards seeking continuous 24/7 outdoor automation and efficiency gains. The solution is positioned to improve operational performance and cut CO2 and incident rates while scaling across large logistics campuses.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Robotics & Industrial Tech > Ground Mobility: AMRs and AGVs; Mobility, Transport & Logistics > Autonomous and ADAS Systems; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; AI & Machine Learning > Agentic Frameworks and Orchestration; Robotics & Industrial Tech > Field Robotics and Heavy Industries",Autonomous Vehicles; Industrial Automation; Logistics; Software; Supply Chain Management,Pre-Seed,2021,"Ã‰vry, ÃŽle-de-France, France, Europe",Active,2343207.0,2343207.0,2025-07-09,Seed,0.0,4,"Aran Ventures, Bpifrance, Etat FÃ©dÃ©ral Belge, Femmes Business Angels, IMT Starter, Impulse4Women, Oscar Club, RÃ©gion Ile-de-France, The Company Lab, WILCO, gener8tor",Femmes Business Angels,0.0,"[{""specter_person_id"":""per_0bf6b0f5fe611d82521058cb"",""full_name"":""Ksenia Duarte"",""departments"":[""Senior Leadership""],""title"":""CEO & Co-founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_1c2ce24afecb8127fbd9bb9e"",""full_name"":""Enzo Salvatore"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO & Co-founder"",""seniority"":""Executive Level""}]","Prior VC-Backed Experience, Strong Technical Background, Top University, VC-Backed Founder",2,17,0.0,41.67,452.0,-6.8,86.01,,,"Headcount Momentum, Top Tier Investors, No Recent Funding",ex9 provides autonomous yard tractors and yard-operations-as-a-service for logistics yards.,30,100,17,100,89,Tier 2,Schedule partner review (Tier 2),~11mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
PAVE Space SA,pave.space,"PAVE Space improves satellite uptime and orbital logistics by providing autonomous spacecraft and on-orbit servicing capabilities. The company designs and builds GNC, propulsion, visual navigation, and docking systems and develops a kickstage for rapid orbit transfers. It offers GNC simulation and engineering services and SaaS-like tools to satellite operators for rendezvous, payload delivery, repair, and refueling. Built on experience from the GruyÃ¨re Space Program and based in Switzerland, PAVE Space targets last-mile satellite delivery and in-space logistics for commercial satellite operators.",Government Administration; Space Research and Technology,"Space & Frontier > On-Orbit Services and Infrastructure; Space & Frontier > Space Operations, Services and Logistics; Space & Frontier > Spacecraft Platforms and Constellations; Defence & Security > Space and Aerospace Defence; Space & Frontier > Launch, Reentry and Propulsion Systems",Information Technology,Pre-Seed,2023,"Crissier, Vaud, Switzerland, Europe",Active,40125078.0,40000000.0,2026-03-25,Seed,0.0,2,"ACE Investment Partners Ltd., Atlantic Labs, Creandum, Foundation for Innovation and Technology (FIT), Ilavska Vuillermoz Capital, Lombard Odier Investment Managers, Motier Ventures, Pareto Holdings, SistaFund, Visionaries Club, b2venture","Foundation for Innovation and Technology (FIT), Visionaries Club, Creandum",0.0,"[{""specter_person_id"":""per_7d55db79589e59402e368cf9"",""full_name"":""JÃ©rÃ©my Marciacq"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_b6cfde759d3125a5caf3a9ac"",""full_name"":""Julie BÃ¶hning"",""departments"":[""Senior Leadership""],""title"":""Co-founder & CEO"",""seniority"":""Executive Level""}]","Prior VC-Backed Experience, Serial Founder, VC-Backed Founder",2,36,20.0,56.52,18436.0,46.84,455.3,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Momentum, Web Traffic Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding, Recent News",PAVE Space improves space mobility and logistics with autonomous spacecraft for satellite servicing.,30,100,20,100,89,Tier 2,Schedule partner review (Tier 2),"Raised ~2mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Amca,amca.com,"Amca acquires, develops, and scales critical aerospace and defense products to rapidly meet manufacturer needs. The company combines engineering, advanced manufacturing, and rapid prototyping to accelerate new capabilities and increase production volumes. Amca operates as a B2B manufacturing and engineering platform that integrates legacy suppliersâ€”including Electro-Mech Componentsâ€”and supplies major aerospace OEMs such as Boeing and Lockheed Martin. Its core capabilities include precision manufacturing, systems engineering, and prototype-to-production workflows. Amca targets aerospace and defense manufacturers and other industrial customers requiring high-reliability components and supply-chain continuity.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,Supply Chain & ManufacturingTech > Additive and Advanced Manufacturing; Quantum & Frontier Materials > Advanced Materials and Composites; Defence & Security > Defence Manufacturing and Materials,Aerospace; Industrial; Manufacturing; Supply Chain Management,Late Stage,2024,"El Segundo, California, United States, North America",Active,376500000.0,300000000.0,2026-05-20,Series B,700000000.0,2,"Andreessen Horowitz, Caffeinated Capital, Construct Capital, Founders Fund, House Capital, Jackson Moses, Lightspeed Venture Partners, Lux Capital, SignalRank, Silent Ventures",Caffeinated Capital,0.0,"[{""specter_person_id"":""per_5c8ecf0f61029170be8ae8ea"",""full_name"":""Eli Giovanetti"",""departments"":[""Senior Leadership"",""Operations""],""title"":""COO and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_a8a8dc7b9582ebbe1f53f597"",""full_name"":""Jai Malik"",""departments"":[],""title"":""CEO and Co-Founder"",""seniority"":null}]","Hyper Connector, Unicorn Experience, Prior VC-Backed Experience, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",2,43,26.47,72.0,13504.0,465.49,445.4,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Web Traffic Momentum, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Raised Last Month, Recent Funding, Recent News",Amca acquires and scales aerospace and defense products via rapid prototyping and engineering.,20,100,40,100,89,Tier 2,Schedule partner review (Tier 2),"Raised ~1mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Hemut (YC X25),hemut.com,"Hemut helps logistics teams run fleets more efficiently by optimizing routes, tracking loads in real time, and automating invoicing. It is an AI-powered transport management system (TMS) that uses machine learning, real-time tracking, and workflow automation to reduce manual data entry and speed billing. The platform includes fleet management features, integrated accounting and invoicing, and analytics dashboards for operational insights. Hemut is a B2B SaaS product for logistics companies and fleets of all sizes seeking improved cash flow, driver satisfaction, and operational efficiency.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Mobility, Transport & Logistics > Fleet Management, Telematics and Safety; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Supply Chain & ManufacturingTech > AI and Analytics for Supply Chain Optimization",Logistics; Software; Transportation,Early Stage,2024,"Fresno, California, United States, North America",Active,0.0,0.0,2025-06-04,Seed,0.0,1,"Lorenz Bogaert, Pioneer Fund, Sunset Ventures, Team Ignite Ventures, Ventioneers, Y Combinator",,0.0,"[{""specter_person_id"":""per_0eeb675dc95a26f8e5a246e6"",""full_name"":""Mert Turna"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_12ff66350894ca645e1b1b6c"",""full_name"":""Loki Cheema"",""departments"":[""Senior Leadership""],""title"":""Founder & CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_a58ce0237ad53e112e84c925"",""full_name"":""Nima K."",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_bd3066148df17405501e3c89"",""full_name"":""Anthony Guerrera"",""departments"":[""Senior Leadership""],""title"":""Co-Founder (YC X25)"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Experience, VC-Backed Founder",4,53,1.92,29.27,4233.0,388.8,79.9,,,"Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Hemut is an AI transport management system that optimizes fleet operations and automates invoicing.,100,100,43,88,88,Tier 2,Schedule partner review (Tier 2),~12mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Cariqa,cariqa.com,"Cariqa provides charge point operators with a single platform for transparent pricing, billing, and payments to simplify operations and reduce costs. It combines closed-loop charging protocols with open-loop payments and AI-driven pricing updates to manage transactions, billing flows, and dynamic price displays. The product is delivered as a SaaS platform that integrates with CPO networks, OEMs, and mobility platforms so partners can embed charging under their own brands. Cariqa targets EV charging networks across Europe, enabling operators to optimize utilization and provide consistent driver experiences.","Technology, Information and Internet; Software Development","FinTech > Payment Infrastructure & Orchestration; Commerce & Marketplaces > Subscriptions and Loyalty; Mobility, Transport & Logistics > EV, Charging and Energy Management",CleanTech; Electric Vehicle; Energy; FinTech; Information Technology; Mapping Services; Navigation; Software,Pre-Seed,2023,"Berlin, Berlin, Germany, Europe",Active,5795589.0,4702524.0,2025-07-08,Seed,0.0,3,"Anthemis, Anthemis Female Innovators Lab, Contrarian Ventures, Earth, Golden Egg Check Capital, Hatcher+, Plug and Play, Techstars, Vento","Contrarian Ventures, Anthemis",0.0,"[{""specter_person_id"":""per_3aaf8be3e05b19a329d1a119"",""full_name"":""Stefano Bonetta"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_b78a6294e8b1af83b57dcff9"",""full_name"":""Tamara Ciullo"",""departments"":[""Senior Leadership"",""BD & Marketing""],""title"":""Co-Founder and CCO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_d281d5fe870070d368e4ca85"",""full_name"":""Issam Tidjani"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and CEO"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior VC-Backed Experience, Serial Founder, Strong Technical Background, VC-Backed Founder",3,20,0.0,17.65,8240.0,762.83,405.52,,,"Headcount Scale-up, Web Traffic Surge, Social Followers Surge, Social Followers Scale-up, Top Tier Investors, No Recent Funding","Cariqa powers EV charging transactions, cutting out intermediaries and complexity.",30,60,47,100,88,Tier 2,Schedule partner review (Tier 2),~11mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
